Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
"I was driving by and saw the sign out for fresh sweetcorn, so I decided to check it out!",quality,quality,quality,quality
There was a big pile of corn ears on a table.,quality,quality,quality,quality
There were also plenty of bags available to put my corn into.,availability,availability,availability,availability
They also had a large bin near by where you could remove the outer leaves and corn silk.,quality,quality,availability,quality
(The Jewel doesn't do that for you!),environment,environment,environment,environment
I liked this because I never really knew what to do with the outer covering when I clean corn at home.,safety,safety,quality,safety
It's always such a messy job.,safety,safety,safety,safety
"As an added plus, when you clean your corn there, you can examine the ears to make sure you don't get any that are either underdeveloped or have corn bores.",quality,quality,quality,quality
(None of my ears had anything wrong with them!),quality,environment,quality,quality
"They also had fresh tomatoes, squash (yellow and Zucchini), string beans, large melons and other fresh vegetables and fruit.",availability,availability,availability,availability
The girls at the checkout counter were friendly and quickly rang up my order.,environment,environment,environment,environment
"They also had a large assortment of jams, local honey and canned vegetable available along with olive oils and other condiments.",availability,availability,availability,availability
"(I didn't need any of those so I can't comment on their quality, but they looked good!",quality,quality,quality,quality
This is definitely a local gem that I will be stopping at again as the summer progresses.,environment,environment,environment,environment
"They have the best sweet corn, hands down!",quality,quality,quality,quality
"I only buy my corn here and go frequently to purchase it, fresh out of the fields.",quality,quality,quality,quality
"I also buy a lot of their fresh produce, and started buying the jars of cherry pie mix which made the best cherry pie I've ever had.",quality,quality,quality,quality
I buy my flower and vegetable plants here every spring.,availability,availability,availability,availability
"They have a big variety, and it's so easy to shop in their greenhouse.",availability,availability,safety,availability
Very friendly employees.,environment,environment,environment,environment
This is a must-try if only for the sweet corn!,quality,quality,quality,quality
I'm not sure what I had expected coming into this place.,environment,environment,environment,environment
For some reason I had grandious visions of fresh fruits and vegetables piled to the eaves.,quality,quality,availability,quality
For that I was let down.,environment,environment,quality,environment
"However, the small amounts of produce that they did have looked so fresh and delicious.",quality,quality,quality,quality
They carry tables and tables of vine ripe tomatoes of many varieties.,availability,availability,availability,availability
They have an enormous table full of sweet corn that you can shuck right there in the stand.,quality,quality,quality,quality
They have a vast variety of canned items such as pumpkin butters and salsas and the like.,availability,availability,availability,availability
Buckets of onions.,availability,availability,availability,availability
"Baskets of green beans, bell peppers, jalapenos, squash and zucchinis and more.",availability,availability,availability,availability
I was just expecting more quantity of each.,environment,environment,availability,environment
Granted I arrived around noon on a Sunday and I'm sure most of the product had been picked through and purchased already.,environment,environment,quality,environment
I was not too impressed with the prices either.,environment,environment,environment,environment
"I purchased 8 green peppers, 3 cucumbers and 2 red onions and it was right around $11.",availability,availability,availability,availability
I'll be back.,environment,environment,safety,environment
I've heard phenomenal things about their sweet corn.,quality,quality,quality,quality
I'll be sure to get some next time.,quality,quality,environment,quality
This place is great!!,environment,environment,environment,environment
Once you try the fruits and veggies you will know what I mean!,quality,quality,availability,quality
There's an assortment of meats as well as jarred goods.,availability,availability,availability,availability
Every time I have stopped by there is something seasonal at the store.,quality,quality,quality,quality
This is not Amish Farmers store.,environment,environment,environment,environment
Is mix.,environment,environment,availability,environment
I found some products from the market in Chicago.,environment,environment,environment,environment
A lot products from regular stores with very high price.,environment,environment,quality,environment
"Nothing different than Rich Or Jewel Inot go for fakes products Yesterday I went in to buy chicken and one of the ladies that was serving the chicken had a glove on One hand and didn't on the other and she was touching her her running nose with the bare hand then I asked her if she could go and wash her hand and she's said ""No me no wash hands it's good"" then I said then I don't want the chicken.",quality,quality,quality,quality
She she put a new glove on the bare hand.,environment,environment,environment,environment
I think they should have some training of how to handle food properly for safety.,safety,safety,safety,safety
I asked the cashier to see the supervisor and she said no supervisor or manager here.,environment,environment,environment,environment
This is the best Amish store.,quality,quality,quality,quality
"Best meat, it's so fresh , it's far from me but it worth it!",quality,quality,quality,quality
Whole Foods is price and this is much better.,environment,environment,environment,environment
"Fresh,FreshFresh!",quality,quality,quality,quality
The products that were available were high quality.,quality,quality,quality,quality
I'm assuming that the lack of variety is due to the current season and I understand that.,availability,availability,availability,availability
Hoping that spring/summer brings a little more of a selection.,availability,availability,availability,availability
Staff was a little cold but helped when I asked for it.,environment,environment,environment,environment
Will be coming back.,environment,environment,quality,environment
Love this place.,environment,environment,environment,environment
"Great for those who like to ""hunt"" their food to be in the most natural state and freshest possible.",quality,quality,quality,quality
"This is a tiny store that sells Amish produce and other staples like cheese, jams and breads.",availability,availability,availability,availability
The prices are extremely fair to say the least.,environment,environment,environment,environment
I picked up a bag of raw almonds was $1 and a cup full of flax seeds was $1.50.,environment,environment,quality,environment
"While small, the store offers a great organic selection for those nearby and don't want to pay crazy high prices at the big stores.",environment,quality,quality,quality
I was really impress.,environment,environment,quality,environment
Love Amish Farmers.,environment,environment,environment,environment
Have been shopping there for a couple years now.,environment,environment,environment,environment
Love getting my farm fresh organic cAge free eggs!!!!,quality,quality,quality,quality
"The butter is amazing, so happy I don't have to drive to Wisconsin for it.",quality,quality,quality,quality
Have not had any bad vegetables or cheese from here.,quality,quality,availability,quality
It's a great little store for the area.,environment,environment,environment,environment
My only issue (and yes I get it's a mom & pop shop) but the people working in there don't seem to keep to the standards for working with food.,safety,safety,safety,safety
I have no bought any meat or poultry from there.,quality,quality,quality,quality
